,phen,male_count,female_count,combined_count
1031,B321,0,30,30
1032,B322,1,32,33
1033,B323,0,7,7
1034,B328,0,12,12
1035,B329,0,4,4
1036,B330,2,3,5
1037,B331,1,11,12
1038,B332,5,6,11
1039,B333,3,2,5
1040,B338,3,8,11
1041,B340,3,3,6
1042,B341,3,15,18
1043,B342,4,10,14
1044,B343,2,8,10
1045,B344,2,36,38
1046,B348,39,30,69
1047,B349,604,876,1480
1048,B351,49,26,75
1049,B352,2,2,4
1050,B353,94,41,135
1051,B354,7,11,18
1052,B355,0,5,5
1053,B356,14,9,23
1054,B358,1,3,4
1055,B359,7,2,9
1056,B360,2,1,3
1057,B361,0,15,15
1058,B364,0,9,9
1059,B368,1,1,2
1060,B369,24,20,44
1061,B370,450,572,1022
1062,B371,22,50,72
1063,B372,14,23,37
1064,B373,0,187,187
1065,B374,38,15,53
1066,B375,0,9,9
1067,B377,13,11,24
1068,B378,403,452,855
1069,B379,127,137,264
1070,B390,2,1,3
1071,B391,0,1,1
1072,B393,0,8,8
1073,B399,0,2,2
1074,B408,1,0,1
1075,B440,4,1,5
1076,B441,57,55,112
1077,B447,1,0,1
1078,B448,3,8,11
1079,B449,36,36,72
1080,B450,1,0,1
1081,B451,1,1,2
1082,B459,1,0,1
1083,B479,5,4,9
1084,B487,0,3,3
1085,B49,57,49,106
1086,B508,0,4,4
1087,B509,19,13,32
1088,B518,0,1,1
1089,B519,5,2,7
1090,B529,1,0,1
1091,B530,0,1,1
1092,B538,0,1,1
1093,B54,6,7,13
1094,B550,1,0,1
1095,B551,3,0,3
1096,B552,0,1,1
1097,B559,0,1,1
1098,B573,0,1,1
1099,B580,0,3,3
1100,B582,1,0,1
1101,B588,1,0,1
1102,B589,2,4,6
1103,B59,39,19,58
1104,B601,0,3,3
1105,B650,1,0,1
1106,B651,0,1,1
1107,B652,1,0,1
1108,B653,1,0,1
1109,B658,1,0,1
1110,B659,1,0,1
1111,B663,0,1,1
1112,B670,0,1,1
1113,B679,2,1,3
1114,B769,2,2,4
1115,B779,0,2,2
1116,B787,0,1,1
1117,B80,43,49,92
1118,B820,8,8,16
1119,B829,3,3,6
1120,B832,0,2,2
1121,B838,1,0,1
1122,B839,2,5,7
1123,B850,1,1,2
1124,B86,8,6,14
1125,B870,0,1,1
1126,B871,1,0,1
1127,B879,1,1,2
1128,B880,4,2,6
1129,B881,0,1,1
1130,B888,0,1,1
1131,B889,2,0,2
1132,B89,1,2,3
1133,B901,0,1,1
1134,B902,2,0,2
1135,B908,0,2,2
1136,B909,4,3,7
1137,B91,47,64,111
1138,B941,2,3,5
1139,B942,0,1,1
1140,B948,16,20,36
1141,B949,6,6,12
1142,B950,85,66,151
1143,B951,103,142,245
1144,B952,84,55,139
1145,B953,72,57,129
1146,B954,420,246,666
1147,B955,141,94,235
1148,B956,1286,910,2196
1149,B957,299,205,504
1150,B958,112,108,220
1151,B960,7,4,11
1152,B961,237,177,414
1153,B962,1210,1760,2970
1154,B963,125,115,240
1155,B964,148,143,291
1156,B965,468,419,887
1157,B966,21,10,31
1158,B967,12,6,18
1159,B968,2259,2210,4469
1160,B970,3,2,5
1161,B971,7,4,11
1162,B972,4,2,6
1163,B973,2,0,2
1164,B974,15,12,27
1165,B975,0,1,1
1166,B976,1,1,2
1167,B977,6,243,249
1168,B978,86,138,224
1169,B980,553,570,1123
1170,B981,0,1,1
1171,B99,57,44,101
1172,C000,7,12,19
1173,C001,4,6,10
1174,C002,1,2,3
1175,C003,0,2,2
1176,C004,1,0,1
1177,C005,0,1,1
1178,C006,0,1,1
1179,C009,4,5,9
1180,C01,89,28,117
1181,C012,0,1,1
1182,C020,2,0,2
1183,C021,34,31,65
1184,C022,7,3,10
1185,C023,3,2,5
1186,C024,17,6,23
1187,C028,4,1,5
1188,C029,70,32,102
1189,C030,3,8,11
1190,C031,10,6,16
1191,C032,1,0,1
1192,C039,5,2,7
1193,C040,5,5,10
1194,C041,1,1,2
1195,C042,1,0,1
1196,C048,3,1,4
1197,C049,28,14,42
1198,C050,2,9,11
1199,C051,19,8,27
1200,C052,3,0,3
1201,C058,1,0,1
1202,C059,6,8,14
1203,C060,11,12,23
1204,C061,1,2,3
1205,C062,13,4,17
1206,C068,2,1,3
1207,C069,7,7,14
1208,C07,38,31,69
1209,C080,8,6,14
1210,C081,2,1,3
1211,C082,1,0,1
1212,C083,1,0,1
1213,C084,0,1,1
1214,C088,1,1,2
1215,C089,5,7,12
1216,C090,9,3,12
1217,C091,8,4,12
1218,C098,1,1,2
1219,C099,138,54,192
1220,C100,3,0,3
1221,C101,14,17,31
1222,C102,2,0,2
1223,C103,1,1,2
1224,C104,2,1,3
1225,C105,0,1,1
1226,C106,1,0,1
1227,C108,2,3,5
1228,C109,42,13,55
1229,C110,0,1,1
1230,C111,23,32,55
1231,C112,1,1,2
